Run,Agent,Iteration,Gross Utility
0,Truthful Learnt 5,0,110.49884184954853
0,Truthful Learnt 5,1,396.6036786805523
0,Truthful Learnt 5,2,766.9613148516096
0,Truthful Learnt 5,3,855.0891321171714
0,Truthful Learnt 5,4,822.1019877215541
0,Truthful Learnt 5,5,816.9247445160087
0,Truthful Learnt 5,6,849.7508029582103
0,Truthful Learnt 5,7,956.3794735209189
0,Truthful Learnt 5,8,943.934193943051
0,Truthful Learnt 5,9,970.941065922438
0,Truthful Learnt 5,10,958.1328921739263
0,Truthful Learnt 5,11,938.975974880023
0,Truthful Learnt 5,12,905.1880105301547
0,Truthful Learnt 5,13,857.9946919042673
0,Truthful Learnt 5,14,886.8198965826506
0,Truthful Learnt 5,15,940.2172401647
0,Truthful Learnt 5,16,928.5564082809254
0,Truthful Learnt 5,17,946.3765799858197
0,Truthful Learnt 5,18,996.1762655592015
0,Truthful Learnt 5,19,929.6884552687317
1,Truthful Learnt 5,0,195.38860426332602
1,Truthful Learnt 5,1,87.11746193836476
1,Truthful Learnt 5,2,656.25017971688
1,Truthful Learnt 5,3,640.5326525832625
1,Truthful Learnt 5,4,895.1338064688051
1,Truthful Learnt 5,5,767.5611556529752
1,Truthful Learnt 5,6,761.5657556348051
1,Truthful Learnt 5,7,669.3948340547659
1,Truthful Learnt 5,8,699.8256892542604
1,Truthful Learnt 5,9,809.5116996450788
1,Truthful Learnt 5,10,958.3722312895528
1,Truthful Learnt 5,11,967.1128346860087
1,Truthful Learnt 5,12,943.9315413748993
1,Truthful Learnt 5,13,925.685354250429
1,Truthful Learnt 5,14,931.6282233553762
1,Truthful Learnt 5,15,910.708822253442
1,Truthful Learnt 5,16,915.7166972528806
1,Truthful Learnt 5,17,923.5794408620576
1,Truthful Learnt 5,18,1012.7199017905132
1,Truthful Learnt 5,19,943.3592424184718
2,Truthful Learnt 5,0,149.8743005096924
2,Truthful Learnt 5,1,423.51255734929833
2,Truthful Learnt 5,2,767.0274868323575
2,Truthful Learnt 5,3,911.218511732229
2,Truthful Learnt 5,4,949.839808362525
2,Truthful Learnt 5,5,924.9825847601738
2,Truthful Learnt 5,6,956.501011272506
2,Truthful Learnt 5,7,900.9057386518003
2,Truthful Learnt 5,8,894.1385286229164
2,Truthful Learnt 5,9,948.1205681743762
2,Truthful Learnt 5,10,980.7463389602548
2,Truthful Learnt 5,11,944.8396420365314
2,Truthful Learnt 5,12,898.7663950790998
2,Truthful Learnt 5,13,1000.7832110618089
2,Truthful Learnt 5,14,934.290367593686
2,Truthful Learnt 5,15,980.2272225950554
2,Truthful Learnt 5,16,936.8107657601571
2,Truthful Learnt 5,17,916.6711179631958
2,Truthful Learnt 5,18,932.933678448109
2,Truthful Learnt 5,19,953.5464677075456
0,Truthful Learnt 6,0,381.6395532148264
0,Truthful Learnt 6,1,518.9852773148355
0,Truthful Learnt 6,2,1004.2032884995685
0,Truthful Learnt 6,3,977.4667124490953
0,Truthful Learnt 6,4,1036.1510722870814
0,Truthful Learnt 6,5,1043.0849486372379
0,Truthful Learnt 6,6,1004.3494942489109
0,Truthful Learnt 6,7,1062.6120814974715
0,Truthful Learnt 6,8,1039.76308706665
0,Truthful Learnt 6,9,1061.49031299698
0,Truthful Learnt 6,10,1063.971772500792
0,Truthful Learnt 6,11,1050.9208567771464
0,Truthful Learnt 6,12,1094.6147188506447
0,Truthful Learnt 6,13,1083.1339104724352
0,Truthful Learnt 6,14,1009.2041969936258
0,Truthful Learnt 6,15,975.4058516399441
0,Truthful Learnt 6,16,1001.0385707718093
0,Truthful Learnt 6,17,1119.810750267282
0,Truthful Learnt 6,18,1056.7917963824113
0,Truthful Learnt 6,19,1016.9402679306222
1,Truthful Learnt 6,0,239.46470941551686
1,Truthful Learnt 6,1,356.18110492257176
1,Truthful Learnt 6,2,1036.6175110980564
1,Truthful Learnt 6,3,1048.997144946375
1,Truthful Learnt 6,4,1062.0990099981082
1,Truthful Learnt 6,5,1104.603955386979
1,Truthful Learnt 6,6,1155.5781805311042
1,Truthful Learnt 6,7,1096.2078633887486
1,Truthful Learnt 6,8,1038.6384395586006
1,Truthful Learnt 6,9,1048.3550662481045
1,Truthful Learnt 6,10,1101.0110635645553
1,Truthful Learnt 6,11,1067.7840634469715
1,Truthful Learnt 6,12,1082.3566444297426
1,Truthful Learnt 6,13,1022.9478848696168
1,Truthful Learnt 6,14,1146.2080482553552
1,Truthful Learnt 6,15,1105.6311116946056
1,Truthful Learnt 6,16,1046.961295595312
1,Truthful Learnt 6,17,1026.9068426424433
1,Truthful Learnt 6,18,1006.8626232271898
1,Truthful Learnt 6,19,1070.0704954436378
2,Truthful Learnt 6,0,356.42855444145204
2,Truthful Learnt 6,1,462.9010976825476
2,Truthful Learnt 6,2,827.0616633974607
2,Truthful Learnt 6,3,729.5317178724208
2,Truthful Learnt 6,4,734.7749748345748
2,Truthful Learnt 6,5,803.1876140174
2,Truthful Learnt 6,6,798.6519580597773
2,Truthful Learnt 6,7,851.0355383470486
2,Truthful Learnt 6,8,827.7661939971975
2,Truthful Learnt 6,9,791.9792734289806
2,Truthful Learnt 6,10,726.0613649231129
2,Truthful Learnt 6,11,770.873366060235
2,Truthful Learnt 6,12,753.6929659118246
2,Truthful Learnt 6,13,757.5741466675951
2,Truthful Learnt 6,14,743.7353474148845
2,Truthful Learnt 6,15,880.354158392964
2,Truthful Learnt 6,16,816.9277770623896
2,Truthful Learnt 6,17,790.2992668930029
2,Truthful Learnt 6,18,803.1043895065494
2,Truthful Learnt 6,19,787.5322437595878
